y,z
0.00666209,0.000472031
0.00665735,0.000471664
0.00664659,0.000470829
0.00662893,0.00046946
0.00660374,0.000467509
0.00657479,0.000465268
0.00654878,0.000463256
0.00653431,0.000462137
0.00653957,0.000462544
0.00656986,0.000464887
0.0066267,0.000469288
0.00670391,0.000475276
0.00677906,0.000481116
0.00682971,0.00048506
0.00685884,0.000487329
0.00687783,0.00048881
0.00689577,0.00049021
0.00692186,0.000492246
0.00696171,0.000495359
0.00701525,0.000499546
0.00708031,0.000504643
0.00715323,0.000510366
0.00722988,0.000516392
0.00730545,0.000522346
0.00737546,0.000527871
0.00745117,0.000533858
0.00755575,0.000542146
0.00769727,0.000553397
0.00786047,0.000566422
0.0080303,0.000580033
0.0082066,0.000594225
0.00839259,0.000609265
0.00859011,0.000625313
0.00880338,0.00064273
0.0090418,0.000662313
0.00930655,0.000684211
0.00956987,0.00070624
0.00978306,0.000724396
0.00992846,0.000736992
0.0100607,0.00074861
0.0102488,0.000765434
0.0105015,0.000788584
0.0107995,0.000816729
0.0111073,0.000846733
0.0113773,0.000873854
0.0116054,0.000897334
0.0118583,0.000923989
0.0121814,0.00095899
0.0125092,0.000995587
0.0127735,0.00102589
0.0130008,0.00105253
0.0132393,0.00108103
0.0134321,0.00110451
0.0134591,0.00110782
0.0132981,0.00108815
0.0130538,0.00105881
0.0128294,0.00103239
0.0127055,0.00101802
0.0127231,0.00102006
0.0127876,0.00102753
0.012758,0.00102409
0.0126031,0.00100628
0.0123647,0.000979314
0.0121175,0.000951983
0.0119497,0.000933778
0.0118505,0.000923154
0.0116446,0.000901422
0.011223,0.000858258
0.0107451,0.000811524
0.0103852,0.000777853
0.0101738,0.000758685
0.0100789,0.000750221
0.0100278,0.000745707
0.00991434,0.00073576
0.00969013,0.000716438
0.00940417,0.000692339
0.0091082,0.000667789
0.00882958,0.000644876
0.00858933,0.00062525
0.00837122,0.000607534
0.00815115,0.000589755
0.00794066,0.000572842
0.00778295,0.000560229
0.00770781,0.000554237
0.00772507,0.000555612
0.00783891,0.000564698
0.00801177,0.000578546
0.00818969,0.000592861
0.00835869,0.000606518
0.00853106,0.000620507
0.00870733,0.000634874
0.00887063,0.000648241
0.00901623,0.000660206
0.00920139,0.000675492
0.0095026,0.000700578
0.00995256,0.000739097
0.0105939,0.000797217
0.0114344,0.000879677
0.0123947,0.000982677
0.0134633,0.00110834
0.0147844,0.00127986
0.0162723,0.0014945
0.0175756,0.00170135
0.0185298,0.001864
0.0191703,0.0019785
0.0195139,0.00204172
0.0195866,0.00205525
0.0194611,0.00203193
0.0192314,0.00198966
0.0189212,0.00193347
0.0185087,0.0018603
0.0180138,0.00177486
0.0175346,0.00169457
0.0172458,0.00164734
0.017277,0.00165239
0.0174524,0.00168105
0.0174758,0.00168489
0.017217,0.00164268
0.0167042,0.0015611
0.0159994,0.00145342
0.0152048,0.00133818
0.0143804,0.00122551
0.0134592,0.00110783
0.0123931,0.0009825
0.011337,0.000869753
0.0104816,0.000786741
0.00991194,0.000735551
0.00962985,0.000711314
0.00953543,0.000703338
0.00932442,0.000685696
0.00881679,0.000643828
0.00820672,0.000594235
0.00768237,0.00055221
0.00725664,0.000518499
0.00689014,0.00048977
0.00658315,0.000465915
0.00638423,0.000450559
0.00631337,0.000445108
0.00632219,0.000445786
0.00636248,0.000448885
0.0064607,0.000456453
0.0066544,0.000471435
0.00690226,0.000490716
0.00712438,0.0005081
0.00728463,0.000520704
0.00739498,0.000529413
0.00745221,0.00053394
0.00741331,0.000530862
0.00726209,0.000518928
0.00710871,0.000506871
0.00706165,0.000503181
0.00703372,0.000500993
0.00685703,0.000487188
0.00652584,0.000461483
0.00617723,0.000434664
0.00589812,0.000413369
0.00571066,0.000399155
0.00562799,0.000392908
0.00560703,0.000391327
0.00559529,0.000390442
0.00557879,0.000389198
0.00554902,0.000386955
0.00551979,0.000384754
0.00554307,0.000386507
0.00562752,0.000392873
0.00568223,0.000397005
0.00563909,0.000393746
0.00552379,0.000385056
0.00538453,0.000374595
0.005273,0.000366245
0.00523675,0.000363536
0.00525788,0.000365115
0.00525306,0.000364754
0.00517453,0.000358893
0.00504011,0.00034889
0.00486886,0.000336199
0.00466018,0.000320813
0.00442258,0.000303402
0.00421953,0.000288613
0.00412923,0.000282062
0.00417371,0.000285286
0.00431125,0.000295283
0.00450482,0.000309415
0.00476874,0.000328805
0.00512091,0.000354899
0.0054982,0.00038313
0.00582577,0.000407874
0.0061179,0.000430124
0.00640853,0.000452431
0.00668987,0.000474186
0.00693538,0.000493302
0.00716127,0.000510997
0.0074377,0.000532791
0.00782321,0.000563444
0.00825652,0.000598255
0.00862757,0.000628366
0.00901813,0.000660363
0.00970166,0.000717422
0.0108228,0.000818967
0.012158,0.00095642
0.0133412,0.00109339
0.0142662,0.00121044
0.0149838,0.00130729
0.01561,0.00139614
0.0162182,0.00148631
0.0166912,0.00155906
0.01682,0.00157928
0.0166079,0.00154608
0.0162867,0.00149669
0.0160305,0.00145807
0.0156808,0.00140643
0.0150823,0.001321
0.0144738,0.00123792
0.0141346,0.00119326
0.0140888,0.00118731
0.014286,0.00121305
0.0146997,0.00126832
0.0153015,0.00135186
0.0159506,0.00144616
0.0164124,0.0015159
0.0166042,0.0015455
0.0167552,0.00156908
0.017072,0.00161933
0.0175337,0.00169443
0.0180033,0.00177307
0.0182734,0.00181936
0.0181049,0.00179039
0.01747,0.00168393
0.0167024,0.00156082
0.0160945,0.00146765
0.0154679,0.00137562
0.0145557,0.00124888
0.013524,0.00111583
0.0126725,0.00101423
0.0121197,0.00095222
0.0119149,0.000930043
0.0119889,0.000938004
0.0119954,0.000938714
0.0116681,0.000903879
0.0111924,0.0008552
0.0107743,0.000814311
0.0103306,0.000772858
0.00970194,0.000717446
0.00896341,0.000655861
0.0083212,0.000603484
0.00784913,0.000565516
0.00753205,0.000540265
0.0073604,0.000526681
0.00731817,0.000523349
0.00737932,0.000528176
0.00748662,0.000536665
0.00757255,0.000543479
0.00759908,0.000545587
0.00757192,0.00054343
0.00752209,0.000539476
0.00749767,0.00053754
0.00753347,0.000540378
0.00766634,0.000550934
0.00794134,0.000572896
0.00841035,0.000610704
0.00917361,0.000673194
0.0103306,0.000772855
0.0118537,0.000923494
0.013631,0.00112912
0.0157142,0.00141131
0.0177682,0.0017334
0.019603,0.00205832
0.0212875,0.00238779
0.0227168,0.00269102
0.0238453,0.00294591
0.0247276,0.00315478
0.0254053,0.00332096
0.0258884,0.00344251
0.0261948,0.00352091
0.0263686,0.00356585
0.0264824,0.00359544
0.0266177,0.00363083
0.0268181,0.00368361
0.0270734,0.0037515
0.0273007,0.00381254
0.0273555,0.00382734
0.0271642,0.0037758
0.0267781,0.00367303
0.0262276,0.00352937
0.0255327,0.00335277
0.0247518,0.00316061
0.0239701,0.00297494
0.0232413,0.00280777
0.0225364,0.00265154
0.0217587,0.00248536
0.0208178,0.0022929
0.0196605,0.00206907
0.0182313,0.00181209
0.0165681,0.00153991
0.0149151,0.0012978
0.0136659,0.00113348
0.0128686,0.00103697
0.012363,0.000979132
0.0119446,0.000933231
0.0115556,0.000892158
0.0113136,0.000867384
0.0112752,0.000863509
0.01137,0.000873105
0.0115065,0.000887089
0.0116625,0.000903294
0.0118451,0.000922576
0.0119378,0.000932505
0.0117126,0.00090855
0.0111681,0.000852779
0.0106295,0.000800565
0.0103145,0.000771389
0.0101635,0.00075776
0.0100524,0.000747878
0.00983087,0.000728518
0.00938537,0.00069077
0.0088239,0.00064441
0.00837239,0.000607628
0.00812218,0.000587422
0.00803097,0.000580088
0.00804805,0.00058146
0.00810216,0.000585811
0.00814117,0.000588951
0.00822478,0.000595692
0.00846546,0.000615176
0.00884976,0.00064653
0.00920032,0.000675404
0.00937795,0.000690152
0.00941521,0.00069326
0.00936658,0.000689205
0.00923762,0.000678493
0.00903951,0.000662124
0.00878756,0.000641435
0.00850033,0.000618009
0.00825673,0.000598272
0.00817511,0.000591686
0.00827437,0.000599697
0.00840428,0.000610213
0.00842966,0.00061227
0.00838757,0.000608858
0.00834925,0.000605754
0.00830678,0.000602317
0.00822205,0.000595472
0.00811516,0.000586857
0.00804759,0.000581423
0.00807676,0.000583768
0.00828508,0.000600563
0.00873653,0.000637261
0.00928953,0.000682798
0.00970243,0.000717488
0.00997554,0.00074111
0.0103093,0.000770911
0.010838,0.000820429
0.0115911,0.00089585
0.0125655,0.00100198
0.0136768,0.00113484
0.0147783,0.00127901
0.0157476,0.0014162
0.0165793,0.00154164
0.0173419,0.00166297
0.0181007,0.00178967
0.0188939,0.00192856
0.0197412,0.00208422
0.0205805,0.00224585
0.0212528,0.00238071
0.0216844,0.00246981
0.0219782,0.0025316
0.0222262,0.00258447
0.022376,0.00261674
0.0223077,0.002602
0.0219967,0.00253551
0.0215367,0.00243909
0.0209974,0.00232891
0.0204471,0.00221967
0.0200256,0.00213815
0.0197943,0.00209421
0.0196645,0.00206981
0.019389,0.0020186
0.0187051,0.00189491
0.0176552,0.00171455
0.0167052,0.00156125
0.0161859,0.00148142
0.015792,0.00142272
0.0151932,0.00133656
0.0145107,0.00124284
0.0139102,0.00116436
0.0132498,0.00108231
0.0123649,0.000979337
0.0114115,0.000877341
0.0106761,0.000804963
0.0102208,0.000762909
0.00986326,0.000731321
0.00945473,0.000696565
0.00900374,0.000659178
0.00853321,0.000620682
0.00809893,0.000585551
0.00778743,0.000560587
0.00762526,0.000547667
0.00756767,0.000543092
0.00761279,0.000546676
0.00785996,0.000566382
0.00838755,0.000608857
0.00906254,0.000664022
0.00963345,0.000711619
0.0100706,0.000749491
0.010559,0.000793948
0.0112512,0.000861096
0.0121965,0.000960653
0.0133856,0.00109881
0.0146968,0.00126792
0.0158783,0.00143544
0.0168604,0.00158566
0.0176274,0.00170994
0.0180993,0.00178944
0.0182317,0.00181216
0.0180555,0.00178196
0.0175977,0.00170501
0.0168617,0.00158586
0.0158802,0.00143571
0.0147488,0.001275
0.0134056,0.00110125
0.0119219,0.000930791
0.0106456,0.000802076
0.00986471,0.000731447
0.00946473,0.000697402
0.00918282,0.000673956
0.00888839,0.000649698
0.00858567,0.000624952
0.00830491,0.000602166
0.00805581,0.000582083
0.00784781,0.00056541
0.00767221,0.000551402
0.00750448,0.00053808
0.00733532,0.000524702
0.00717779,0.000512295
0.00705398,0.000502579
0.00698464,0.000497151
0.00695956,0.000495191
0.00687978,0.000488962
0.00664739,0.000470891
0.0063042,0.000444403
0.00596828,0.000418707
0.00570981,0.000399091
0.00551821,0.000384636
0.00536132,0.000372855
0.00520577,0.000361224
0.00502825,0.000348009
0.0048489,0.000334723
0.00470999,0.000324477
0.00465333,0.000320309
0.00472313,0.000325445
0.0049299,0.000340715
0.00523876,0.000363687
0.00558388,0.000389582
0.00586618,0.000410942
0.00599442,0.000420699
0.00594393,0.000416853
0.00573204,0.000400773
0.00544306,0.000378986
0.00517835,0.000359178
0.00497863,0.000344327
0.00484054,0.000334105
0.00476963,0.000328871
0.00476939,0.000328854
0.00484079,0.000334124
0.00498074,0.000344483
0.00517867,0.000359202
0.00544483,0.00037912
0.00581128,0.000406776
0.00623705,0.000439249
0.00657009,0.000464904
0.00671554,0.000476179
0.00678726,0.000481755
0.0069046,0.000490899
0.00700981,0.000499121
0.00700439,0.000498697
0.00694106,0.000493745
0.00695856,0.000495113
0.00710824,0.000506833
0.00734268,0.000525283
0.00762551,0.000547687
0.00797493,0.000575589
0.00843367,0.000612596
0.00900149,0.000658993
0.00962612,0.000710997
0.01025,0.000765535
0.0108317,0.000819815
0.0113748,0.000873594
0.0119606,0.00093496
0.0126222,0.00100845
0.0132204,0.00107875
0.0136458,0.00113097
0.0141753,0.00119855
0.0152393,0.00134306
0.0167081,0.0015617
0.0180411,0.0017795
0.0189944,0.00194662
0.0195349,0.00204562
0.019666,0.00207008
0.0195235,0.0020435
0.0192915,0.00200066
0.0190909,0.00196409
0.0189618,0.00194076
0.0188169,0.00191479
0.0185439,0.00186647
0.0181418,0.0017967
0.017686,0.00171967
0.017188,0.00163799
0.0165501,0.00153711
0.0156864,0.00140725
