y,z
0.00666201,0.000472024
0.0066507,0.000471148
0.00661898,0.00046869
0.00656932,0.000464845
0.00652815,0.000461661
0.00653641,0.0004623
0.00661733,0.000468562
0.00674572,0.000478524
0.00682361,0.000484584
0.00685253,0.000486837
0.00687835,0.000488851
0.00693728,0.00049345
0.0070337,0.000500991
0.00715442,0.000510459
0.007274,0.000519866
0.0073933,0.00052928
0.00758742,0.00054466
0.00783338,0.000564257
0.00811179,0.000586586
0.00844398,0.000613433
0.00882066,0.000644145
0.00923362,0.000678161
0.00960514,0.000709221
0.0098773,0.000732539
0.0102677,0.000767137
0.0107787,0.00081473
0.0112908,0.000865079
0.0117761,0.000915251
0.0124912,0.000993551
0.0131421,0.00106934
0.0135799,0.00112276
0.0139276,0.00116658
0.0138879,0.00116151
0.0137364,0.00114232
0.0138239,0.00115338
0.0140804,0.00118623
0.0138821,0.00116078
0.0132567,0.00108314
0.0127763,0.00102621
0.0126051,0.0010065
0.0119812,0.000937178
0.0114036,0.000876533
0.0111777,0.000853731
0.011006,0.000836751
0.0104482,0.000783651
0.00970483,0.000717692
0.00910044,0.000667148
0.00861922,0.000627685
0.00814419,0.000589194
0.00785178,0.000565727
0.00786945,0.00056714
0.0081066,0.000586168
0.00826897,0.000599261
0.00832699,0.000603952
0.00833463,0.000604571
0.00841588,0.000611153
0.0088592,0.000647304
0.00975099,0.000721642
0.0109967,0.000835843
0.0124859,0.000992952
0.0147198,0.00127105
0.0167795,0.00157291
0.0178233,0.00174266
0.0181238,0.00179363
0.018136,0.00179571
0.0178814,0.00175244
0.0173711,0.00166772
0.0170796,0.00162055
0.0174499,0.00168062
0.0178362,0.00174482
0.0177694,0.0017336
0.0172734,0.00165182
0.0162788,0.00149549
0.0143994,0.00122802
0.0124568,0.000989664
0.0114111,0.000877291
0.0111852,0.000854484
0.0103806,0.00077743
0.00910691,0.000667682
0.00818565,0.000592536
0.00748394,0.000536452
0.00707447,0.000504185
0.00687275,0.000488414
0.00677864,0.000481084
0.00695921,0.000495163
0.00716645,0.000511404
0.00722849,0.000516283
0.00711485,0.000507352
0.00673941,0.000478034
0.0064902,0.00045873
0.00615674,0.000433095
0.00534962,0.000371978
0.0045614,0.000313561
0.00406269,0.000277246
0.00377573,0.000256578
0.00352353,0.00023855
0.00335582,0.000226633
0.00350671,0.000237353
0.00374147,0.000254121
0.00367541,0.000249392
0.00344554,0.000233001
0.00332045,0.000224127
0.00330396,0.00022296
0.003269,0.000220486
0.00331651,0.000223848
0.0033387,0.00022542
0.00337498,0.000227992
0.00360298,0.000244216
0.00399086,0.000272057
0.00466922,0.000321477
0.00544929,0.000379455
0.00603497,0.000423791
0.0065962,0.000466925
