y,z
0.03844,0.0140156
0.0382483,0.0134889
0.0284189,0.00412134
0.0284394,0.00412716
0.0283907,0.00411338
0.0282952,0.00408646
0.0381767,0.0132922
0.0382475,0.0134868
0.0383088,0.013655
0.0383878,0.0138721
0.038482,0.0141311
0.0385828,0.014408
0.038688,0.014697
0.0387979,0.0149984
0.0389129,0.0153098
0.0390254,0.0156057
0.0391291,0.0158669
0.0392214,0.0160899
0.0393026,0.0162794
0.0393706,0.0164335
0.0394217,0.0165469
0.0394518,0.0166128
0.039458,0.0166263
0.0394366,0.0165798
0.0393892,0.0164752
0.0393267,0.0163345
0.0392616,0.0161844
0.0392048,0.0160502
0.03914,0.0158937
0.0390381,0.0156383
0.0388589,0.0151642
0.0385649,0.0143587
0.0283361,0.00409795
0.0282674,0.00407863
0.0284386,0.00412693
0.0283581,0.00410416
0.0382881,0.0135984
0.0384278,0.0139821
0.0384639,0.0140812
0.0384376,0.014009
0.0383765,0.0138412
0.0382821,0.0135818
0.0381145,0.0131216
0.0284373,0.00412657
0.0284594,0.00413282
0.0284021,0.00411658
0.0380734,0.0130097
0.0381868,0.0133201
0.0382397,0.0134654
0.0381957,0.0133445
0.0283261,0.00409513
0.028408,0.00411826
0.0284454,0.00412886
0.0284629,0.00413384
0.0284457,0.00412893
0.0284003,0.00411608
0.0283593,0.00410451
0.0283443,0.00410027
0.0283392,0.00409884
0.028334,0.00409735
0.0283363,0.00409802
0.0283559,0.00410353
0.0283911,0.00411349
0.0284295,0.00412435
0.0284558,0.00413182
0.0284598,0.00413295
0.0284382,0.00412682
0.0284039,0.0041171
0.028371,0.0041078
0.028345,0.00410047
0.0283241,0.00409459
0.0283087,0.00409023
0.0381075,0.0131025
0.0382061,0.0133729
0.0383378,0.0137349
0.0384791,0.0141231
0.0386278,0.0145316
0.0387743,0.0149339
0.0389055,0.01529
0.0390052,0.0155535
0.0390755,0.0157334
0.0391309,0.0158712
0.0391827,0.0159973
0.0392372,0.0161273
0.0392924,0.0162559
0.0393445,0.0163749
0.0393904,0.0164779
0.0394308,0.016567
0.0394737,0.0166603
0.0395262,0.0167727
0.0395838,0.0168936
0.0396351,0.0169993
0.0396309,0.0169909
0.0395718,0.0168686
0.0394992,0.0167152
0.0394351,0.0165764
0.039392,0.0164813
0.0393572,0.0164034
0.0393124,0.0163019
0.0392477,0.0161519
0.0391676,0.0159608
0.0390787,0.0157414
0.0389823,0.0154938
0.0388764,0.0152116
0.0387636,0.0149044
0.0386515,0.0145966
0.0385423,0.0142966
0.0384139,0.0139439
0.0381819,0.0133065
0.0283509,0.00410213
0.0279136,0.00398001
0.0276194,0.00389909
0.0274426,0.00385093
0.0273218,0.00381824
0.0272118,0.00378859
0.0270828,0.003754
0.0269387,0.00371559
0.0268101,0.00368149
0.0267258,0.00365924
0.0267034,0.00365336
0.0267457,0.00366448
0.0268536,0.00369301
0.0270192,0.00373702
0.0272286,0.00379311
0.0274786,0.0038607
0.027786,0.0039448
0.0282048,0.00406108
0.0283515,0.00410231
0.0283422,0.00409969
0.0283003,0.00408787
0.0282294,0.00406797
0.0281289,0.00403983
0.0280616,0.00402109
0.0280048,0.00400528
0.0279592,0.00399264
0.0284107,0.00411903
0.0381512,0.0132224
0.0383632,0.0138046
0.0384562,0.0140601
0.0384811,0.0141285
0.038477,0.0141173
0.0384783,0.0141209
0.038497,0.0141721
0.0385157,0.0142237
0.038516,0.0142243
0.0384824,0.0141321
0.038415,0.013947
0.0383129,0.0136663
0.0381678,0.0132678
0.0283177,0.00409278
0.0282928,0.00408577
0.0382189,0.0134082
0.0383749,0.0138367
0.038477,0.0141174
0.0385124,0.0142145
0.0384775,0.0141186
0.0383745,0.0138356
0.0282616,0.004077
0.0283724,0.00410821
0.028415,0.00412025
0.0284259,0.00412332
0.0284108,0.00411905
0.0283951,0.00411461
0.0283828,0.00411113
0.0283817,0.00411082
0.0283796,0.00411023
0.0283659,0.00410637
0.0283573,0.00410393
0.0283535,0.00410288
0.0283432,0.00409997
0.028324,0.00409456
0.0283062,0.00408954
0.0283014,0.0040882
0.0282931,0.00408586
0.0282945,0.00408624
0.0283157,0.00409221
0.0283455,0.0041006
0.0283724,0.0041082
0.0283881,0.00411263
0.0283908,0.00411339
0.0283725,0.00410822
0.0283415,0.00409949
0.0283087,0.00409024
0.0282765,0.00408119
0.0381448,0.0132048
0.0382116,0.0133883
0.038303,0.0136393
0.0384247,0.0139736
0.0385725,0.0143797
0.0387338,0.0148228
0.0388966,0.0152659
0.0390509,0.0156712
0.0391975,0.0160328
0.0393437,0.016373
0.0395023,0.0167218
0.0396814,0.0170935
0.0398829,0.0174875
0.0401056,0.0178971
0.0403382,0.0182996
0.0405626,0.0186667
0.0407217,0.0189155
0.040825,0.0190725
0.0408918,0.019172
0.0409453,0.0192508
0.0410024,0.0193338
0.041062,0.0194194
0.0411143,0.0194936
0.0411506,0.0195448
0.0411771,0.0195818
0.0412082,0.0196251
0.0412581,0.019694
0.0413298,0.0197916
0.0414088,0.0198978
0.0414735,0.0199834
0.0415092,0.0200303
0.0415131,0.0200354
0.0414861,0.02
0.0414299,0.0199258
0.0413493,0.0198179
0.0412498,0.0196826
0.0411379,0.019527
0.0410173,0.0193552
0.0408917,0.0191719
0.0407621,0.0189773
0.0406296,0.0187726
0.0404956,0.0185592
0.0403621,0.0183396
0.040231,0.018117
0.0401073,0.0179001
0.0399978,0.0177018
0.0399097,0.0175381
0.0398439,0.0174129
0.039794,0.0173166
0.039757,0.017244
0.0397257,0.0171821
0.0396949,0.0171206
0.0396621,0.0170545
0.039631,0.0169909
0.0396003,0.0169277
0.0395422,0.0168064
0.0394715,0.0166556
0.0393912,0.0164795
0.039308,0.0162916
0.039228,0.0161054
0.0391618,0.0159469
0.0391129,0.0158269
0.0390811,0.0157475
0.03906,0.0156942
