y,z
0.0389109,0.0153045
0.0388315,0.0150899
0.0387427,0.0148472
0.0386339,0.0145483
0.0385084,0.0142036
0.0383737,0.0138334
0.0382166,0.0134018
0.0283232,0.00409433
0.0282946,0.00408628
0.0382692,0.0135464
0.0384897,0.0141521
0.0387109,0.0147599
0.0389294,0.0153538
0.0391336,0.0158779
0.0393143,0.0163061
0.0394663,0.0166443
0.0395833,0.0168926
0.0396158,0.0169599
0.039666,0.0170623
0.0397305,0.0171917
0.0397315,0.0171936
0.0396517,0.0170333
0.0395238,0.0167675
0.0393936,0.0164848
0.0392754,0.0162165
0.0391666,0.0159585
0.0390542,0.0156794
0.038915,0.0153153
0.0387332,0.0148211
0.0385168,0.0142266
0.0382372,0.0134584
0.0284118,0.00411935
0.0283948,0.00411452
0.0382109,0.0133862
0.038238,0.0134607
0.0282895,0.00408485
0.0283784,0.0041099
0.0283914,0.00411356
0.028325,0.00409484
0.0381736,0.0132837
0.0382085,0.0133794
0.0283297,0.00409616
0.0284886,0.00414114
0.0284486,0.00412978
0.0283748,0.00410889
0.0283185,0.00409301
0.0283017,0.00408828
0.0282974,0.00408707
0.0282886,0.00408458
0.0381134,0.0131187
0.0381593,0.0132444
0.0382406,0.0134676
0.0383775,0.013844
0.0385126,0.0142151
0.0385885,0.0144235
0.0385956,0.0144432
0.0385702,0.0143733
0.0385397,0.0142896
0.0384956,0.0141684
0.0384245,0.0139729
0.0383446,0.0137535
0.0382954,0.0136184
0.0382752,0.0135629
0.0382326,0.0134457
0.0381779,0.0132956
0.0382606,0.0135229
0.038461,0.0140734
0.0386521,0.0145983
0.0388165,0.015049
0.0389571,0.0154273
0.0390235,0.0156009
0.0389025,0.015282
0.0387166,0.0147756
0.0384947,0.014166
0.0283991,0.00411574
0.028274,0.00408047
0.0282866,0.00408402
0.0283709,0.00410778
0.0282924,0.00408565
0.0279013,0.0039766
0.0273286,0.00382005
0.0267909,0.00367641
0.0263469,0.00356022
0.0260369,0.00348038
0.0258905,0.00344302
0.0259087,0.00344767
0.0260585,0.0034859
0.026243,0.00353334
0.0263665,0.0035653
0.026441,0.00358466
0.0265571,0.00361495
0.0270969,0.00375777
0.0278702,0.003968
0.0381759,0.0132901
0.0385868,0.014419
0.0387656,0.0149101
0.0388993,0.0152732
0.0390536,0.0156779
0.039225,0.0160985
0.0393829,0.016461
0.0395197,0.0167588
0.0396503,0.0170304
0.0397919,0.0173125
0.0399761,0.017662
0.0402433,0.0181382
0.0405626,0.0186668
0.0408641,0.0191309
0.0411212,0.0195034
0.0413059,0.0197592
0.041418,0.01991
0.041466,0.0199736
0.0414404,0.0199397
0.0413499,0.0198189
0.0411974,0.0196101
0.041006,0.019339
0.0408296,0.0190792
0.0407015,0.0188844
0.0406153,0.0187501
0.0405734,0.0186839
0.0405441,0.0186371
0.0405291,0.0186131
0.0404901,0.0185503
0.0403936,0.0183921
0.0402545,0.0181574
0.0400864,0.0178627
0.0399052,0.0175296
0.0397325,0.0171956
0.0395895,0.0169054
0.0394902,0.0166957
0.0394399,0.0165869
0.0394134,0.0165287
0.0393853,0.0164665
0.039366,0.0164234
0.0393782,0.0164506
0.0394322,0.01657
0.0395218,0.0167633
0.0396284,0.0169856
0.039719,0.0171689
0.0397704,0.0172703
0.0397992,0.0173266
0.0398223,0.0173715
0.0398327,0.0173916
0.0398219,0.0173706
0.0397948,0.0173181
0.0397693,0.0172682
0.0397476,0.0172256
0.0397129,0.0171565
0.0396488,0.0170273
0.0395398,0.0168015
0.039378,0.01645
0.0391803,0.0159916
0.038942,0.0153875
0.0386204,0.0145113
0.0283317,0.00409671
0.028387,0.00411232
0.0285392,0.00415557
0.0283554,0.0041034
0.0383186,0.0136821
0.0384568,0.0140617
0.0384918,0.014158
0.0384919,0.0141583
0.0384787,0.0141221
0.0384597,0.0140697
0.0384347,0.0140011
0.0384335,0.0139979
0.0384679,0.0140923
0.0385028,0.0141882
0.0385231,0.0142439
0.0385824,0.0144067
0.0387276,0.0148058
0.0389214,0.0153324
0.0390697,0.0157188
0.0390247,0.015604
0.0388696,0.0151933
0.0386268,0.0145288
0.0382771,0.013568
0.0285009,0.00414465
0.0284691,0.00413559
0.0284488,0.00412982
0.0284512,0.0041305
0.0284479,0.00412958
0.0283629,0.00410553
0.0283966,0.00411503
0.028319,0.00409315
0.027875,0.00396934
0.0276916,0.00391887
0.0277027,0.00392189
0.0278558,0.00396404
0.0281367,0.00404201
0.0283154,0.00409214
0.0283227,0.00409419
0.0283557,0.00410349
0.0284296,0.00412437
0.0381728,0.0132817
0.0382975,0.013624
0.0383825,0.0138576
0.0384505,0.0140444
0.0384881,0.0141478
0.0384728,0.0141057
0.0384037,0.0139158
0.0382632,0.0135298
0.0283866,0.00411221
0.0284167,0.00412072
0.0380979,0.0130764
0.0383063,0.0136482
0.0383624,0.0138023
0.0383165,0.0136762
0.038279,0.0135732
0.0383033,0.01364
0.0383251,0.0137
0.0382739,0.0135592
0.0381145,0.0131218
0.0284195,0.00412151
0.0284792,0.00413847
0.028479,0.00413841
0.0285437,0.00415686
0.028369,0.00410724
0.0380972,0.0130743
0.0381965,0.0133466
0.0382785,0.013572
0.0383181,0.0136808
0.0383144,0.0136705
0.038275,0.0135623
0.038192,0.0133344
0.0283936,0.0041142
0.0283995,0.00411586
0.0381209,0.0131391
0.0383391,0.0137385
0.0385369,0.0142818
0.038725,0.0147987
0.0388929,0.015256
0.0390222,0.0155976
0.0391113,0.0158229
0.0391699,0.0159666
0.0392098,0.0160624
0.0392232,0.0160942
0.0391834,0.015999
