y,z
0.0383998,0.0139052
0.0381469,0.0132104
0.0284668,0.00413494
0.0284887,0.00414118
0.0283782,0.00410983
0.0381619,0.0132517
0.0383026,0.013638
0.0383913,0.0138819
0.0384802,0.0141262
0.0385931,0.0144364
0.0387312,0.0148157
0.0388855,0.0152362
0.0390349,0.0156302
0.0391623,0.0159481
0.0392634,0.0161887
0.0393403,0.0163654
0.0393937,0.0164851
0.0394243,0.0165527
0.0394285,0.016562
0.0393995,0.016498
0.0393458,0.0163778
0.039287,0.0162434
0.039236,0.0161245
0.0391663,0.0159577
0.0390321,0.0156231
0.0387799,0.0149491
0.0383575,0.0137891
0.0282388,0.0040706
0.0284339,0.00412561
0.0285222,0.00415071
0.0382751,0.0135626
0.0385049,0.014194
0.0385837,0.0144103
0.0385517,0.0143225
0.0384628,0.0140782
0.0383411,0.013744
0.0381606,0.0132482
0.028378,0.00410978
0.0283337,0.00409729
0.0381292,0.0131618
0.0381644,0.0132586
0.0283088,0.00409028
0.0283706,0.0041077
0.028399,0.00411572
0.0284251,0.00412311
0.0283992,0.00411577
0.0283498,0.00410183
0.0283651,0.00410614
0.0284021,0.00411658
0.0283796,0.00411022
0.0283374,0.00409834
0.0283293,0.00409604
0.0283455,0.00410062
0.0283851,0.00411178
0.0284357,0.00412612
0.0284471,0.00412934
0.0283964,0.00411497
0.0283011,0.00408809
0.0381663,0.0132638
0.0382445,0.0134784
0.0383315,0.0137176
0.0384476,0.0140365
0.0385941,0.014439
0.038755,0.0148808
0.0389023,0.0152813
0.0390179,0.0155863
0.0391037,0.0158039
0.039172,0.0159716
0.0392367,0.0161261
0.039301,0.0162756
0.0393632,0.016417
0.0394237,0.0165514
0.0394859,0.0166866
0.0395522,0.0168275
0.0396149,0.016958
0.0396515,0.0170328
0.0395914,0.0169094
0.0395034,0.0167241
0.0394214,0.0165462
0.0393601,0.0164099
0.0393071,0.0162896
0.0392436,0.0161422
0.0391592,0.0159406
0.0390487,0.0156656
0.0389145,0.0153142
0.0387702,0.0149225
0.0386374,0.0145579
0.0385145,0.0142203
0.0383405,0.0137422
0.0284227,0.00412243
0.0280698,0.00402335
0.0277613,0.003938
0.0276166,0.00389833
0.0275227,0.0038727
0.0273718,0.00383175
0.0271447,0.00377056
0.0269152,0.00370935
0.0267589,0.00366796
0.0267068,0.00365425
0.0267544,0.00366677
0.0268928,0.0037034
0.0271164,0.003763
0.0274221,0.00384537
0.027812,0.00395195
0.028283,0.00408302
0.0283433,0.00409998
0.0283138,0.00409167
0.0282907,0.00408519
0.0282947,0.00408631
0.0282986,0.00408741
0.0282823,0.00408282
0.0283561,0.00410361
0.0382923,0.0136098
0.0384126,0.0139403
0.0384579,0.0140647
0.0384799,0.0141252
0.038515,0.0142216
0.0385429,0.0142982
0.0385231,0.0142439
0.0384287,0.0139845
0.0382508,0.0134957
0.0283649,0.00410609
0.0283534,0.00410283
0.0381395,0.0131903
0.0383749,0.0138369
0.0385547,0.0143308
0.0386479,0.0145869
0.0386412,0.0145684
0.0385578,0.0143391
0.0384131,0.0139416
0.0282919,0.0040855
0.0283448,0.00410042
0.0283955,0.00411474
0.0284316,0.00412495
0.0283987,0.00411562
0.0283581,0.00410416
0.0283659,0.00410635
0.0283765,0.00410936
0.0283667,0.0041066
0.0283201,0.00409345
0.0381255,0.013152
0.0381791,0.013299
0.0381762,0.0132909
0.038113,0.0131178
0.0283438,0.00410013
0.0283781,0.00410982
0.0283844,0.00411158
0.0283645,0.00410598
0.0283351,0.00409769
0.028314,0.00409174
0.0282858,0.0040838
0.0381647,0.0132594
0.0382836,0.0135861
0.0384417,0.0140202
0.038626,0.0145265
0.0388198,0.0150581
0.0390054,0.0155541
0.0391796,0.0159898
0.0393541,0.0163964
0.0395449,0.0168122
0.0397604,0.0172508
0.0400064,0.0177178
0.0402769,0.0181959
0.040538,0.0186275
0.0407272,0.0189239
0.0408482,0.0191071
0.0409252,0.0192212
0.040991,0.0193173
0.0410594,0.0194156
0.0411218,0.0195042
0.041165,0.019565
0.0411992,0.0196126
0.0412499,0.0196826
0.0413195,0.0197777
0.0414048,0.0198924
0.0414957,0.0200126
0.0415277,0.0200544
0.041498,0.0200157
0.0414166,0.0199082
0.0413041,0.0197568
0.0411775,0.0195824
0.0410425,0.0193914
0.0408971,0.0191799
0.0407405,0.0189443
0.0405747,0.0186859
0.0404062,0.018413
0.0402424,0.0181367
0.0400905,0.01787
0.0399621,0.017636
0.0398648,0.017453
0.0397895,0.0173077
0.039737,0.0172046
0.0396973,0.0171254
0.039659,0.0170481
0.0396177,0.0169638
0.0395819,0.0168896
0.0395363,0.0167941
0.0394607,0.0166323
0.0393678,0.0164272
0.0392619,0.0161851
0.03916,0.0159424
0.0390834,0.0157533
0.0390498,0.0156684
0.0390487,0.0156655
0.0390453,0.0156568
0.0389973,0.0155329
0.0389034,0.0152844
0.0387689,0.014919
0.0385939,0.0144384
0.0383663,0.0138132
0.0284405,0.00412747
0.0284581,0.00413246
0.0284333,0.00412543
0.0284393,0.00412712
0.0284676,0.00413518
0.0284759,0.00413752
0.0283947,0.00411449
0.0283835,0.00411135
0.0284321,0.00412507
0.0282709,0.0040796
0.0280594,0.00402046
0.0280444,0.00401629
0.0281792,0.0040539
0.02836,0.00410471
0.0283817,0.00411082
0.0283618,0.0041052
0.0283108,0.00409084
0.0282653,0.00407803
0.0283308,0.00409646
0.0284543,0.0041314
0.0283141,0.00409178
0.0381885,0.0133246
0.0382077,0.0133774
0.0381874,0.0133218
0.0381673,0.0132665
0.038152,0.0132245
0.0381065,0.0131
0.0283438,0.00410013
0.02837,0.00410752
0.0283653,0.0041062
0.0283415,0.00409948
0.0282886,0.00408459
0.0382225,0.0134182
0.0383808,0.0138531
0.0384953,0.0141677
0.0385522,0.0143239
0.0385763,0.0143902
0.0386032,0.014464
0.0386508,0.0145946
0.038699,0.0147272
0.0387204,0.014786
0.0387014,0.0147339
0.0385992,0.014453
0.0383781,0.0138456
0.0284366,0.00412635
0.0284317,0.00412497
0.0284877,0.00414087
0.0284266,0.00412353
0.0382242,0.0134226
0.0383515,0.0137723
0.0384084,0.0139288
0.0384544,0.0140553
0.0384986,0.0141767
0.0385534,0.0143272
0.0385689,0.0143698
0.0385103,0.0142088
0.0383849,0.0138643
0.0381541,0.0132302
0.0284433,0.00412827
0.0284319,0.00412504
0.0381461,0.0132083
0.0383904,0.0138792
0.0385775,0.0143934
0.0387448,0.014853
0.0389084,0.0152976
0.0390745,0.0157309
0.0392338,0.016119
0.0393769,0.0164476
0.03951,0.0167382
0.0396483,0.0170265
0.0397987,0.0173256
0.0399464,0.0176069
0.0400675,0.0178286
0.0401465,0.0179695
0.0401934,0.0180519
0.0402241,0.0181051
0.0402479,0.0181462
0.0402742,0.0181912
0.0403182,0.018266
0.0403846,0.0183771
0.0404742,0.0185244
0.0405836,0.0187
0.0406877,0.0188631
0.040688,0.0188635
0.0406152,0.0187499
0.0405235,0.0186041
0.0404633,0.0185068
0.0404301,0.0184523
0.0404002,0.018403
0.0403251,0.0182775
0.0402096,0.01808
0.0400732,0.017839
0.0399355,0.0175865
0.0398071,0.017342
0.0396918,0.0171144
0.0395862,0.0168986
0.0394814,0.0166768
0.0393613,0.0164126
0.0392091,0.0160606
0.0390086,0.0155624
0.0387351,0.0148265
0.0383744,0.0138354
0.0284849,0.00414009
0.0284716,0.0041363
0.0285806,0.00416746
0.0285114,0.00414762
0.0381791,0.0132989
0.0382761,0.0135652
0.0382369,0.0134575
0.0282823,0.00408281
0.0283101,0.00409065
0.0382504,0.0134949
0.0384357,0.0140039
0.0385446,0.0143031
0.0385858,0.0144161
0.0385547,0.0143307
0.0384367,0.0140066
0.0381933,0.0133378
0.0284812,0.00413904
0.0285493,0.00415849
0.0285376,0.00415513
0.0284746,0.00413714
0.0284107,0.00411903
0.0283828,0.00411113
0.0284084,0.00411836
0.028428,0.00412392
0.0283971,0.00411519
0.0283618,0.00410522
0.0283928,0.00411397
0.0284408,0.00412755
0.028405,0.00411742
0.0281,0.00403177
0.0277817,0.00394362
0.0274572,0.00385488
0.0272506,0.00379904
0.0271559,0.00377357
0.0271433,0.00377021
0.0272128,0.00378886
0.0273453,0.00382458
0.0274863,0.0038628
0.0275786,0.00388795
0.0276389,0.00390442
0.0277192,0.00392643
0.0278722,0.00396854
0.0281106,0.00403472
0.0283616,0.00410515
0.0284225,0.00412238
0.028412,0.00411938
0.0283748,0.00410888
0.0283257,0.00409503
0.0282862,0.00408392
0.0282926,0.00408572
0.0283998,0.00411594
0.0284112,0.00411916
0.0381443,0.0132032
0.0382544,0.0135058
0.0382542,0.013505
0.0381727,0.0132812
0.0283351,0.00409767
0.0282943,0.0040862
0.0280569,0.00401977
0.0278451,0.00396108
0.0276299,0.00390196
0.0274433,0.00385111
0.0273131,0.00381588
0.0271803,0.00378012
0.0270617,0.00374837
0.0269818,0.00372705
0.0269712,0.00372424
0.0270733,0.00375147
0.0273064,0.00381408
0.0276547,0.00390874
0.0281345,0.0040414
0.0284277,0.00412384
0.0380936,0.0130646
0.0382185,0.0134071
0.0382092,0.0133815
0.0283146,0.0040919
0.0283802,0.00411041
0.0283669,0.00410664
0.0283574,0.00410397
0.0283538,0.00410294
0.028357,0.00410386
0.0283822,0.00411098
0.0284375,0.00412663
0.028386,0.00411203
0.028351,0.00410217
0.0283813,0.00411071
0.0284448,0.0041287
0.0283704,0.00410763
0.0382527,0.013501
0.0384444,0.0140277
0.0385802,0.0144008
0.038654,0.0146036
0.0386643,0.0146318
0.0386404,0.0145663
0.0386197,0.0145093
0.0386102,0.0144832
0.038566,0.0143618
0.0384284,0.0139838
0.0282902,0.00408503
0.0283651,0.00410614
0.0283804,0.00411046
0.0381424,0.0131981
0.0384055,0.0139208
0.0386112,0.014486
0.0387893,0.0149749
0.0389526,0.0154154
0.0391083,0.0158154
0.0392607,0.0161823
0.039402,0.0165034
0.0395223,0.0167644
0.0396147,0.0169576
0.039681,0.0170925
0.0397239,0.0171785
0.0396954,0.0171217
0.0396309,0.0169908
0.0395564,0.0168362
0.0394816,0.0166773
0.0394226,0.0165489
0.0394036,0.016507
0.0394221,0.0165478
0.0394557,0.0166214
0.039482,0.0166782
0.0395013,0.0167197
0.039524,0.016768
0.0395458,0.0168141
0.0395625,0.0168492
0.0395709,0.0168667
0.0395742,0.0168735
0.0395725,0.0168701
0.0395673,0.0168592
0.0395557,0.0168348
0.0395327,0.0167864
0.0394938,0.0167035
0.0394389,0.0165846
0.0393728,0.0164386
0.0392972,0.0162669
0.0392083,0.0160587
0.0391027,0.0158014
0.0389778,0.015482
0.0388364,0.0151033
0.0386923,0.0147089
0.0385485,0.0143137
0.0383888,0.0138749
0.0381374,0.0131845
0.0284072,0.00411803
0.0284152,0.0041203
0.0283821,0.00411095
0.0283441,0.00410021
0.0283462,0.00410082
0.0283625,0.00410541
0.0283513,0.00410225
0.0283291,0.00409598
0.0283111,0.00409092
0.0283148,0.00409197
0.0283196,0.0040933
0.0283024,0.00408846
0.0381712,0.0132775
0.0382822,0.0135821
0.038347,0.0137602
0.0383445,0.0137532
0.038263,0.0135292
0.0283023,0.00408844
0.0283124,0.00409128
0.0283237,0.00409447
0.0283351,0.00409768
0.0283277,0.00409559
0.0283161,0.00409233
0.0283133,0.00409154
0.0283247,0.00409473
0.0283491,0.00410164
0.028362,0.00410526
0.0283609,0.00410495
0.0283593,0.00410451
0.028362,0.00410528
0.0283638,0.00410576
0.0283691,0.00410728
0.0283959,0.00411484
0.0284124,0.00411951
0.0284185,0.00412123
0.0284316,0.00412494
0.0284458,0.00412899
0.0284098,0.00411876
0.0283365,0.00409808
0.0381605,0.0132477
0.038305,0.0136447
0.038416,0.0139497
0.038503,0.0141888
0.0385612,0.0143487
0.0385833,0.0144094
0.038572,0.0143782
0.0385432,0.0142993
0.0384878,0.014147
0.0383473,0.0137609
0.038117,0.0131285
0.0284519,0.0041307
0.0284539,0.00413126
0.0283912,0.0041135
0.0282527,0.00407448
0.0280856,0.00402777
0.0280545,0.00401908
0.0281479,0.00404515
0.0282572,0.00407575
0.0282831,0.00408305
0.0282792,0.00408194
0.0282705,0.0040795
0.0282988,0.00408746
0.0283804,0.00411046
0.0284167,0.00412073
0.0382028,0.0133638
0.0383945,0.0138905
0.0385353,0.0142775
0.0386387,0.0145616
0.0387021,0.0147357
0.0387212,0.0147883
0.0387045,0.0147424
0.0386586,0.0146162
0.0385972,0.0144474
0.0385409,0.0142927
0.0385358,0.0142787
0.0385813,0.0144039
0.03864,0.014565
0.0386896,0.0147013
0.0387487,0.0148637
0.0388458,0.0151289
0.0389831,0.0154959
0.0391366,0.0158852
0.0392847,0.016238
0.0394098,0.0165207
0.0394964,0.016709
0.0395359,0.0167932
0.039543,0.0168082
0.0395432,0.0168086
0.0395534,0.0168301
0.0395748,0.0168748
0.0396046,0.0169367
0.0396278,0.0169845
0.0396151,0.0169584
0.0395326,0.0167861
0.0394156,0.0165336
0.0392905,0.0162515
0.0391663,0.0159576
0.0390524,0.015675
0.0389656,0.0154498
0.0389049,0.0152882
0.0388548,0.0151532
0.0387978,0.014998
0.0387337,0.0148226
0.0386816,0.0146794
0.0386599,0.0146197
0.0386708,0.0146496
0.0387084,0.014753
0.0387583,0.01489
0.0388029,0.0150118
0.0388299,0.0150855
0.038842,0.0151184
0.0388505,0.0151415
0.0388658,0.0151829
0.0388775,0.0152146
0.0388655,0.0151821
0.0388203,0.0150594
0.0387443,0.0148516
0.0386411,0.014568
0.0385168,0.0142266
0.0383763,0.0138407
0.0382071,0.0133758
0.0283433,0.0041
0.0380793,0.0130258
0.038266,0.0135376
0.0384285,0.0139839
0.0385557,0.0143334
0.0386827,0.0146825
0.0388312,0.015089
0.0390018,0.0155448
0.0391702,0.0159672
0.0393197,0.0163185
0.039444,0.0165959
0.0395451,0.0168125
0.0396191,0.0169665
0.03967,0.0170705
0.0397059,0.0171426
0.0397358,0.0172021
0.0397679,0.0172654
0.0398057,0.0173393
0.0398354,0.0173966
0.0398835,0.0174885
0.03992,0.0175574
0.0399365,0.0175883
0.0399158,0.0175496
0.0398402,0.0174059
0.0397275,0.0171856
0.0396111,0.0169502
0.039522,0.0167637
0.0394592,0.0166288
0.0394182,0.0165393
0.039396,0.0164901
0.0393901,0.016477
0.0393995,0.016498
0.0394192,0.0165416
0.03944,0.016587
0.0394509,0.0166108
0.039453,0.0166154
0.0394536,0.0166166
0.0394564,0.0166229
0.0394569,0.0166238
0.0394494,0.0166075
0.0394341,0.0165742
0.0394164,0.0165353
0.039399,0.0164969
0.0393484,0.0163838
0.0392766,0.0162192
0.0391879,0.0160099
0.0390738,0.0157292
0.0389248,0.0153417
0.0387375,0.014833
0.0385203,0.0142363
0.0382392,0.013464
0.0284661,0.00413473
0.0283742,0.00410872
0.0281532,0.00404661
0.0280699,0.00402338
0.0279981,0.00400343
0.0278889,0.00397317
0.0277896,0.00394577
0.0277459,0.00393377
0.0277339,0.00393047
0.0277051,0.00392255
0.0276356,0.00390351
0.0275748,0.00388692
0.027566,0.00388451
0.0276348,0.00390331
0.0278103,0.00395148
0.0281441,0.00404407
0.0283255,0.00409497
0.0282927,0.00408573
0.0280707,0.0040236
0.0277249,0.003928
0.0274749,0.00385972
0.0273355,0.00382194
0.0272903,0.00380972
0.0273371,0.00382235
0.0274449,0.00385157
0.0275867,0.00389015
0.0277399,0.00393212
0.0278673,0.0039672
0.027908,0.00397846
0.0278417,0.00396012
0.027739,0.00393186
0.0276685,0.00391252
0.0276401,0.00390475
0.0276439,0.0039058
0.0277165,0.00392569
0.027775,0.00394176
0.0278108,0.00395163
0.0278281,0.00395639
0.0278664,0.00396695
0.0279955,0.0040027
0.0282341,0.00406927
0.0283853,0.00411185
0.0283844,0.00411159
0.0283618,0.0041052
0.0283362,0.00409799
0.0283102,0.00409067
0.0282593,0.00407636
0.0280929,0.00402978
0.0280594,0.00402046
0.028076,0.00402507
0.028259,0.00407625
0.028453,0.00413102
0.028355,0.00410329
0.0382792,0.0135738
0.0384491,0.0140405
0.038582,0.0144057
0.0386984,0.0147256
0.0388036,0.0150139
0.0388923,0.0152545
0.0389606,0.0154366
0.0390092,0.015564
0.0390427,0.0156502
0.0390761,0.015735
0.0391252,0.0158573
0.0391893,0.0160133
0.0392468,0.0161498
0.0392787,0.0162243
0.0392822,0.0162322
0.0392604,0.0161816
0.0392181,0.016082
0.0391653,0.0159553
0.0391144,0.0158305
0.0390725,0.0157259
0.0390241,0.0156025
0.0389507,0.0154106
0.0388406,0.0151146
0.0386847,0.0146879
0.0384687,0.0140945
0.0283242,0.0040946
0.0284266,0.00412352
0.0284152,0.00412031
0.0381118,0.0131144
0.0382963,0.0136209
0.0383827,0.0138583
0.0384163,0.0139504
0.0384525,0.0140499
0.0385373,0.0142828
0.0386728,0.0146554
0.0388359,0.0151019
0.0388534,0.0151492
0.0386678,0.0146414
0.0383089,0.0136555
0.0282886,0.00408459
0.0280393,0.00401487
0.0281135,0.00403553
0.0284101,0.00411887
0.0284236,0.00412269
0.0283376,0.00409837
0.0381226,0.013144
0.038124,0.0131477
0.0381257,0.0131524
0.0282826,0.0040829
0.0283295,0.00409611
0.0283659,0.00410636
0.028368,0.00410696
0.0283376,0.00409837
0.0283227,0.00409419
0.0283575,0.00410401
0.0283965,0.00411501
0.0284137,0.00411987
0.0284258,0.00412331
0.0283955,0.00411474
0.0380579,0.0129676
0.0381625,0.0132534
0.0382509,0.013496
0.0383252,0.0137003
0.03839,0.0138783
0.038432,0.0139935
0.0384354,0.014003
0.0383879,0.0138726
0.0382592,0.0135189
0.0283991,0.00411574
0.0284447,0.00412867
0.0284077,0.00411819
0.0282919,0.00408551
0.0382734,0.013558
0.0384334,0.0139975
0.0385633,0.0143544
0.0386703,0.0146484
0.0387781,0.0149442
0.0389133,0.0153108
0.0390793,0.015743
0.0392456,0.0161468
0.0393901,0.016477
0.0395087,0.0167354
0.0396143,0.0169566
0.0397157,0.0171621
0.0398172,0.0173616
0.0399182,0.017554
0.0400179,0.0177387
0.0401124,0.0179091
0.0401999,0.0180632
0.0402732,0.0181895
0.0403141,0.0182591
0.0403059,0.0182452
0.0402596,0.0181663
0.0402184,0.0180953
0.0402221,0.0181017
0.0402698,0.0181837
0.040344,0.0183094
0.0404273,0.0184478
0.0405082,0.0185795
0.0405791,0.0186929
0.0406448,0.0187963
0.0407249,0.0189204
0.0407765,0.0189991
0.0407593,0.0189731
0.0407147,0.0189048
0.04067,0.0188357
0.0406566,0.0188148
0.0406912,0.0188685
0.0407545,0.0189657
0.0408043,0.0190413
0.0408053,0.0190428
0.0407583,0.0189715
0.0406867,0.0188615
0.0406007,0.0187272
0.0404879,0.0185467
0.0403252,0.0182778
0.0401011,0.017889
0.0398474,0.0174197
0.0396136,0.0169553
0.0394228,0.0165495
0.0392717,0.016208
0.039161,0.0159448
0.0390772,0.0157378
0.0390076,0.0155596
0.0389412,0.0153852
0.0388686,0.0151905
0.0387844,0.0149614
0.0386908,0.0147047
0.0385906,0.0144292
0.038478,0.01412
0.0383458,0.0137569
0.0381933,0.0133378
0.0283266,0.00409528
0.0283272,0.00409546
0.0381328,0.0131717
0.03826,0.0135211
0.0383543,0.0137802
0.0383983,0.0139011
0.0383982,0.0139007
0.0383659,0.013812
0.0382225,0.0134179
0.0283841,0.0041115
0.0284435,0.00412831
0.0283901,0.0041132
0.0381324,0.0131706
0.038123,0.0131449
0.0284096,0.00411873
0.0281249,0.00403873
0.0277291,0.00392913
0.0275274,0.003874
0.0274666,0.00385746
0.0274979,0.00386595
0.0275723,0.00388622
0.0276625,0.00391089
0.0277822,0.00394374
0.0279699,0.00399558
