y,z
0.0382772,0.0135684
0.0284157,0.00412046
0.0284927,0.0041423
0.0284192,0.00412142
0.0381662,0.0132634
0.038351,0.013771
0.0384591,0.0140681
0.038556,0.0143343
0.0386833,0.0146841
0.0388464,0.0151303
0.0390214,0.0155953
0.0391772,0.0159841
0.0393054,0.0162858
0.0394058,0.0165119
0.0394715,0.0166555
0.0394954,0.016707
0.0394766,0.0166665
0.0394239,0.0165518
0.0393711,0.0164348
0.039336,0.0163557
0.0392784,0.0162235
0.039136,0.0158838
0.0388708,0.0151964
0.0384328,0.0139958
0.0281971,0.0040589
0.0284079,0.00411823
0.0285608,0.00416178
0.0382799,0.0135758
0.0385113,0.0142114
0.0385606,0.0143468
0.0384985,0.0141763
0.0383853,0.0138654
0.0382601,0.0135213
0.0382034,0.0133656
0.0382539,0.0135043
0.0381615,0.0132507
0.028427,0.00412363
0.028445,0.00412876
0.0284083,0.00411836
0.0283789,0.00411003
0.0283096,0.0040905
0.0380893,0.013053
0.0283895,0.00411302
0.0284355,0.00412605
0.0283879,0.00411258
0.0283476,0.00410121
0.0283266,0.00409528
0.0283529,0.00410269
0.0284093,0.00411862
0.0284312,0.00412483
0.0283698,0.00410746
0.0381399,0.0131914
0.0382978,0.0136248
0.0384424,0.0140222
0.0386028,0.0144628
0.0387824,0.0149559
0.0389504,0.0154096
0.0390754,0.0157332
0.0391625,0.0159484
0.0392382,0.0161297
0.0393146,0.0163068
0.0393886,0.0164737
0.0394546,0.016619
0.0395185,0.0167562
0.0395914,0.0169093
0.0396666,0.0170635
0.0396803,0.0170913
0.0396035,0.0169344
0.0394991,0.016715
0.0394101,0.0165214
0.0393504,0.0163882
0.0392931,0.0162574
0.0392139,0.016072
0.0391047,0.0158064
0.0389614,0.0154386
0.0387891,0.0149744
0.0386141,0.014494
0.03846,0.0140705
0.0382489,0.0134906
0.02838,0.00411035
0.0278716,0.00396839
0.0275836,0.00388931
0.0274386,0.00384985
0.0272998,0.00381229
0.0270858,0.00375481
0.0268512,0.00369237
0.0266862,0.00364883
0.0266404,0.00363679
0.0267149,0.00365639
0.0268979,0.00370474
0.0271816,0.00378047
0.0275764,0.00388735
0.0281231,0.00403821
0.0283943,0.0041144
0.0283789,0.00411005
0.0283455,0.00410062
0.0283186,0.00409302
0.0282992,0.00408757
0.0283689,0.0041072
0.0382457,0.0134819
0.0384156,0.0139486
0.0384798,0.014125
0.0385192,0.0142333
0.0385791,0.0143979
0.0386289,0.0145347
0.0386171,0.0145021
0.0385181,0.0142302
0.0383382,0.013736
0.0283399,0.00409903
0.0283414,0.00409945
0.0382024,0.0133629
0.0384199,0.0139604
0.0385198,0.0142348
0.0384964,0.0141706
0.0383808,0.013853
0.0282614,0.00407695
0.0283037,0.00408883
0.0283418,0.00409958
0.0283854,0.00411187
0.0283885,0.00411274
0.0283641,0.00410585
0.0283574,0.00410398
0.0283594,0.00410452
0.0283475,0.00410117
0.0283046,0.0040891
0.0381433,0.0132009
0.0381967,0.0133472
0.0381903,0.0133298
0.0283101,0.00409062
0.0283929,0.00411398
0.0284148,0.00412018
0.0283887,0.00411282
0.0283143,0.00409182
0.0381722,0.0132799
0.0382964,0.0136211
0.0384133,0.0139423
0.0385691,0.0143702
0.0387687,0.0149186
0.038983,0.0154955
0.039187,0.0160078
0.0393897,0.0164763
0.0396099,0.0169476
0.0398575,0.0174391
0.0401116,0.0179077
0.0403369,0.0182975
0.0405582,0.0186596
0.040737,0.018939
0.0408662,0.019134
0.0409665,0.0192817
0.0410522,0.0194054
0.0411162,0.0194963
0.0411543,0.01955
0.0411871,0.0195957
0.0412461,0.0196774
0.0413325,0.0197954
0.0414403,0.0199396
0.0415221,0.0200471
0.0415288,0.0200558
0.0414579,0.0199629
0.0413326,0.0197954
0.0411839,0.0195914
0.0410278,0.0193704
0.040863,0.0191292
0.0406897,0.0188661
0.0405078,0.0185789
0.0403211,0.0182709
