y,z
0.0382446,0.0134789
0.0284307,0.0041247
0.0284612,0.00413335
0.0284024,0.00411669
0.0282864,0.00408396
0.0382189,0.0134081
0.0383083,0.0136538
0.0383849,0.0138643
0.0384757,0.0141136
0.0385817,0.0144049
0.0386993,0.0147282
0.0388242,0.01507
0.0389508,0.0154108
0.0390672,0.0157124
0.039168,0.015962
0.0392533,0.0161649
0.0393252,0.0163311
0.0393828,0.0164609
0.0394222,0.016548
0.0394374,0.0165814
0.039424,0.016552
0.0393803,0.0164553
0.0393202,0.0163197
0.0392568,0.0161731
0.0392004,0.0160398
0.0391278,0.0158637
0.0390006,0.0155416
0.0387658,0.0149105
0.0383761,0.0138401
0.0282863,0.00408393
0.0283793,0.00411014
0.028497,0.00414353
0.0382105,0.0133851
0.0384389,0.0140126
0.0385334,0.0142722
0.0385383,0.0142857
0.038488,0.0141474
0.0384073,0.0139258
0.0382893,0.0136014
0.0380796,0.0130266
0.0284402,0.00412739
0.0284161,0.00412055
0.0283109,0.00409086
0.0381702,0.0132743
0.0381939,0.0133395
0.0283094,0.00409045
0.0283954,0.00411469
0.0284287,0.00412413
0.028443,0.00412819
0.0284278,0.00412386
0.0283915,0.00411361
0.0283642,0.0041059
0.0283658,0.00410634
0.0283664,0.00410651
0.0283501,0.00410191
0.0283408,0.00409929
0.0283521,0.00410246
0.0283788,0.00411001
0.028416,0.00412054
0.0284416,0.00412779
0.0284356,0.00412609
0.0284074,0.0041181
0.0283677,0.00410688
0.028321,0.00409372
0.0282868,0.00408408
0.038142,0.0131971
0.0382249,0.0134246
0.0383471,0.0137603
0.0384943,0.0141647
0.038655,0.0146065
0.0388115,0.0150354
0.0389486,0.015405
0.0390487,0.0156654
0.0391196,0.0158433
0.0391777,0.0159853
0.0392379,0.0161288
0.0393009,0.0162755
0.0393627,0.016416
0.039419,0.0165411
0.0394696,0.0166515
0.0395199,0.0167593
0.0395731,0.0168713
0.0396243,0.0169773
0.0396516,0.0170331
0.0395954,0.0169176
0.0395162,0.0167514
0.0394412,0.0165898
0.0393887,0.0164741
0.0393498,0.0163867
0.039304,0.0162825
0.0392373,0.0161274
0.0391495,0.0159169
0.0390456,0.0156575
0.0389305,0.0153568
0.0388098,0.0150309
0.0386915,0.0147067
0.0385817,0.0144048
0.0384566,0.0140612
0.0382402,0.0134666
0.0283483,0.00410141
0.0279351,0.00398594
0.027636,0.00390363
0.0274586,0.00385527
0.0273243,0.00381891
0.0271676,0.00377671
0.0269636,0.00372219
0.0267625,0.00366893
0.0266195,0.0036313
0.0265636,0.00361667
0.0265822,0.00362153
0.0266636,0.00364288
0.026808,0.00368095
0.0270161,0.0037362
0.0272747,0.00380553
0.0275779,0.00388775
0.0279284,0.0039841
0.0283019,0.00408832
0.0283281,0.00409571
0.0283137,0.00409165
0.0282943,0.0040862
0.028282,0.00408272
0.0282636,0.00407757
0.0282447,0.00407224
0.0284252,0.00412314
0.0382399,0.0134658
0.0383928,0.0138859
0.0384512,0.0140464
0.0384632,0.0140795
0.0384659,0.0140867
0.0384831,0.014134
0.0384982,0.0141755
0.0384865,0.0141433
0.0384274,0.013981
0.0383232,0.0136948
0.038158,0.013241
0.0283384,0.0040986
0.0283147,0.00409193
0.038182,0.0133069
0.0383672,0.0138158
0.0384967,0.0141714
0.0385545,0.0143302
0.0385297,0.0142622
0.0384413,0.0140191
0.0382767,0.0135671
0.0283423,0.0040997
0.0283955,0.00411473
0.0284349,0.00412588
0.0284341,0.00412566
0.0284094,0.00411865
0.0283867,0.00411223
0.0283755,0.00410909
0.0283724,0.00410819
0.0283639,0.00410581
0.0283451,0.00410051
0.0283317,0.00409673
0.0283269,0.00409536
0.0283171,0.00409262
0.0283035,0.00408879
0.0282906,0.00408514
0.0282918,0.00408548
0.0283222,0.00409405
0.0283598,0.00410466
0.0283852,0.00411182
0.0283951,0.00411462
0.0283875,0.00411247
0.0283642,0.00410589
0.028322,0.00409397
0.0282824,0.00408284
0.0381486,0.0132153
0.0382313,0.0134423
0.0383446,0.0137535
0.0384843,0.0141373
0.038646,0.0145815
0.0388141,0.0150426
0.0389721,0.0154669
0.0391211,0.0158472
0.0392712,0.0162068
0.039435,0.016576
0.0396224,0.0169735
0.0398364,0.0173986
0.0400741,0.0178407
0.0403254,0.018278
0.0405707,0.0186796
0.0407849,0.019012
0.0408943,0.0191757
0.0409567,0.0192673
0.0410051,0.0193377
0.0410551,0.0194095
0.0411093,0.0194866
0.0411572,0.0195541
0.0411952,0.019607
0.0412337,0.0196603
0.0412893,0.0197367
0.0413573,0.0198288
0.0414404,0.0199397
0.0414996,0.0200178
0.0415148,0.0200377
0.0414881,0.0200026
0.0414229,0.0199166
0.0413319,0.0197945
0.0412248,0.0196481
0.0411049,0.0194804
0.0409724,0.0192902
0.0408319,0.0190827
0.0406867,0.0188616
0.0405395,0.0186298
0.0403928,0.0183908
0.0402482,0.0181467
0.0401121,0.0179086
0.0399934,0.0176939
0.0399014,0.0175225
0.0398337,0.0173935
0.0397866,0.017302
0.039754,0.0172382
0.0397263,0.0171834
0.039697,0.0171249
0.0396657,0.0170617
0.0396218,0.0169721
0.0395554,0.0168343
0.0394784,0.0166704
0.0393929,0.0164833
0.0393029,0.01628
0.0392131,0.0160702
0.0391366,0.0158852
0.0390855,0.0157585
0.0390664,0.0157105
0.0390608,0.0156963
0.0390448,0.0156556
0.0389976,0.0155337
0.0389167,0.01532
0.0388072,0.0150238
0.0386715,0.0146515
0.0385016,0.0141847
0.0382541,0.0135048
0.0284425,0.00412803
0.0284046,0.00411731
0.0283655,0.00410624
0.0283541,0.00410304
0.028391,0.00411344
0.0284395,0.00412718
0.0284119,0.00411937
0.0283527,0.00410264
0.0283863,0.00411212
0.0284114,0.00411922
0.0281302,0.00404019
0.0277543,0.00393607
0.0275165,0.00387103
0.027389,0.00383641
0.0273908,0.00383689
0.0275382,0.00387693
0.0277845,0.00394438
0.0280471,0.00401705
0.0282293,0.00406792
0.0283222,0.00409405
0.0283802,0.00411041
0.0284794,0.00413851
0.0283786,0.00410996
0.0381125,0.0131163
0.0381625,0.0132532
0.0381876,0.0133223
0.0381981,0.013351
0.0381976,0.0133497
0.0381821,0.013307
0.0381441,0.0132028
0.0283085,0.00409018
0.028346,0.00410076
0.0283532,0.00410278
0.0283472,0.00410108
0.0283147,0.00409192
0.0381558,0.0132348
0.0383191,0.0136836
0.0384594,0.0140689
0.0385601,0.0143455
0.0386092,0.0144806
0.0386281,0.0145323
0.0386448,0.0145783
0.0386779,0.0146693
0.0387175,0.0147779
0.0387434,0.0148492
0.0387409,0.0148422
0.0387011,0.0147331
0.0385688,0.0143696
0.0383405,0.0137421
0.0284348,0.00412584
0.0284149,0.00412023
0.0284392,0.00412711
0.0284094,0.00411867
0.0382008,0.0133585
0.0383234,0.0136953
0.0383604,0.013797
0.0383855,0.0138658
0.0384262,0.0139776
0.0384882,0.014148
0.0385499,0.0143177
0.0385521,0.0143237
0.0384978,0.0141745
0.0383951,0.0138923
0.0382357,0.0134544
0.0283649,0.00410608
0.028416,0.00412053
0.0283485,0.00410144
0.0382162,0.0134007
0.0383827,0.0138582
0.0385253,0.0142499
0.0386691,0.0146451
0.0388234,0.0150679
0.0389883,0.0155095
0.0391482,0.0159136
0.0392922,0.0162555
0.0394197,0.0165425
0.0395415,0.0168049
0.0396674,0.0170651
0.0398023,0.0173326
0.0399341,0.0175838
0.040045,0.017788
0.0401218,0.0179258
0.040168,0.0180075
0.0401967,0.0180576
0.0402239,0.0181048
0.0402552,0.0181586
0.0402972,0.0182305
0.0403557,0.0183289
0.0404288,0.0184502
0.0405191,0.018597
0.0406267,0.018768
0.0407081,0.0188947
0.0407071,0.0188931
0.040652,0.0188076
0.0405722,0.018682
0.0405044,0.0185734
0.0404708,0.018519
0.0404529,0.0184897
0.0404161,0.0184294
0.0403408,0.018304
0.0402368,0.0181271
0.0401218,0.0179259
0.0400076,0.0177199
0.0398927,0.0175059
0.0397784,0.017286
0.0396674,0.0170651
0.0395502,0.0168233
0.039431,0.0165674
0.0393058,0.0162866
0.0391655,0.0159557
0.0390021,0.0155455
0.0388078,0.0150254
0.0385736,0.0143827
0.0381632,0.0132555
0.0285471,0.00415783
0.0285214,0.00415048
0.0285642,0.00416276
0.0284572,0.00413221
0.0381614,0.0132502
0.0382542,0.0135052
0.0382393,0.0134643
0.0381398,0.0131911
0.0283624,0.00410538
0.0380912,0.0130585
0.0383017,0.0136358
0.0384633,0.0140798
0.0385557,0.0143334
0.0385883,0.0144231
0.0385607,0.0143472
0.0384668,0.0140891
0.0382843,0.0135878
0.0284523,0.00413082
0.0285495,0.00415853
0.0285406,0.00415599
0.028484,0.00413983
0.0284174,0.00412092
0.0283698,0.00410747
0.02836,0.00410471
0.0284026,0.00411675
0.0284652,0.00413448
0.0284726,0.00413658
0.0283803,0.00411044
0.0283381,0.00409852
0.028371,0.00410782
0.0284018,0.0041165
0.0283737,0.00410858
0.0281374,0.00404221
0.0278233,0.00395507
0.0275227,0.00387272
0.0273135,0.00381598
0.0271896,0.00378263
0.0271354,0.00376808
0.0271516,0.00377243
0.0272405,0.0037963
0.02737,0.00383126
0.0274973,0.0038658
0.0275829,0.00388913
0.0276244,0.00390046
0.0276627,0.00391094
0.0277757,0.00394195
0.0279776,0.00399774
0.0282366,0.00406997
0.0283782,0.00410984
0.0283877,0.00411254
0.02837,0.00410753
0.028334,0.00409736
0.0282879,0.00408439
0.0282255,0.00406686
0.0281989,0.00405942
0.0283081,0.00409008
0.028382,0.00411092
0.02831,0.00409061
0.0382054,0.013371
0.0382637,0.0135311
0.0382557,0.0135091
0.0381925,0.0133356
0.0283161,0.00409233
0.0283335,0.00409722
0.0281477,0.00404508
0.0279458,0.00398892
0.0277815,0.00394355
0.0276064,0.00389553
0.0274398,0.00385018
0.027318,0.00381719
0.0271967,0.00378452
0.0270841,0.00375435
0.026998,0.00373138
0.0269631,0.00372207
0.0270101,0.0037346
0.0271605,0.00377481
0.027406,0.00384101
0.0277307,0.00392959
0.0281555,0.00404726
0.0284161,0.00412056
0.0283104,0.00409072
0.0381919,0.013334
0.0382119,0.0133889
0.038156,0.0132354
0.0283451,0.00410049
0.0283515,0.00410231
0.0283477,0.00410122
0.0283607,0.00410489
0.0283744,0.00410877
0.028383,0.00411118
0.0283978,0.00411539
0.0284507,0.00413038
0.02842,0.00412165
0.0283755,0.00410908
0.0283782,0.00410983
0.0284236,0.00412267
0.028479,0.0041384
0.0283976,0.00411534
0.0382063,0.0133735
0.0384006,0.0139075
0.0385502,0.0143184
0.0386548,0.0146056
0.0387038,0.0147404
0.0387108,0.0147597
0.0387017,0.0147347
0.0386977,0.0147236
0.0386828,0.0146827
0.0386278,0.0145316
0.0385055,0.0141955
0.038287,0.0135951
0.028364,0.00410584
0.0283767,0.0041094
0.0283243,0.00409463
0.0382567,0.013512
0.0384389,0.0140126
0.0385681,0.0143676
0.0386764,0.0146652
0.0387915,0.0149809
0.0389169,0.0153205
0.0390421,0.0156487
0.0391537,0.0159271
0.0392432,0.0161413
